name,phone,address,city,state,postal_code,website,email,categories,description,rating,reviews,source_url,google_search_query
Cloverdale Washing Well Laundry,(707) 800-4496,106 N Cloverdale Blvd,"Cloverdale, CA 95425",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers","Great laundry.  Washed and dried my clothes with easy.  Definitely returning""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Cloverdale%20Washing%20Well%20Laundry%20106%20N%20Cloverdale%20Blvd%20Cloverdale%2C%20CA%2095425%20N/A%20N/A
Jones Dry Cleaners,(951) 687-3282,5360 Arlington Ave,"Riverside, CA 92504",N/A,N/A,http://jonesdrycleaningriverside.com,N/A,"Laundromats, Cleaning Contractors, Clothing Alterations","Great service! Wonderful staff!""",,(3),https://www.yellowpages.com,https://www.google.com/search?q=Jones%20Dry%20Cleaners%205360%20Arlington%20Ave%20Riverside%2C%20CA%2092504%20N/A%20N/A
Crystal Cleaning Center,(650) 513-8355,110 DE Anza Blvd,"San Mateo, CA 94402",N/A,N/A,https://www.crystalcleaningcenter.com,N/A,"Laundromats, Antique Repair & Restoration, Dry Cleaners & Laundries","From Business: Crystal Cleaning Center was founded by Violet Janks in 1963. Violet emigrated from Johannesburg, South Africa, with her husband, Cyril, and four children. With…",N/A,62 Years,https://www.yellowpages.com,https://www.google.com/search?q=Crystal%20Cleaning%20Center%20110%20DE%20Anza%20Blvd%20San%20Mateo%2C%20CA%2094402%20N/A%20N/A
Wash World,(707) 360-6069,N/A,N/A,N/A,N/A,N/A,N/A,Laundromats,"great machines and service ive used washworld for many years and also in rincon valley ,lots of broken machines and bums at 6 am homeless not doing laundry,lights dont come on…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Wash%20World%20N/A%20N/A%20N/A%20N/A
Moraga Cleaners & Laundry,(925) 376-5150,1425 Moraga Way,"Moraga, CA 94556",N/A,N/A,http://www.orindadrycleaning.net,N/A,"Laundromats, Clothing Alterations, Dry Cleaners & Laundries",From Business: Complete Dry Cleaning & Laundry Service. Same Day Service Available! We Use Green Clean Solvents.,N/A,60 Years,https://www.yellowpages.com,https://www.google.com/search?q=Moraga%20Cleaners%20%26%20Laundry%201425%20Moraga%20Way%20Moraga%2C%20CA%2094556%20N/A%20N/A
Silver Fox Cleaner,(415) 376-0882,2235 Greenwich St,"San Francisco, CA 94123",N/A,N/A,N/A,N/A,"Laundromats, Clothing Alterations, Dry Cleaners & Laundries","From Business: Nestled in the heart of San Francisco, CA, Silver Fox Cleaner has been a trusted name in the Dry Cleaners & Laundries industry for over 60 years. Renowned for…",N/A,66 Years,https://www.yellowpages.com,https://www.google.com/search?q=Silver%20Fox%20Cleaner%202235%20Greenwich%20St%20San%20Francisco%2C%20CA%2094123%20N/A%20N/A
Emerald City Laundry Co,(707) 296-7852,1210 G Street,"Arcata, CA 95521",N/A,N/A,http://www.emeraldcitylaundry.com,N/A,"Laundromats, Dry Cleaners & Laundries","From Business: Our staff knows laundry and will help you with just about any laundry question. Theyre a lot of fun to hang out with too. Start your laundry, let our staff know…",N/A,37 Years,https://www.yellowpages.com,https://www.google.com/search?q=Emerald%20City%20Laundry%20Co%201210%20G%20Street%20Arcata%2C%20CA%2095521%20N/A%20N/A
Jones Coin Laundry,(949) 408-1240,2075 Newport Blvd,"Costa Mesa, CA 92627",N/A,N/A,https://jones-coin-laundry.edan.io,N/A,Laundromats,"From Business: Jones Coin Laundry is located between Victoria and Bay on Newport Blvd. First Wash at 5:00 am, Last Wash at 8:30pm. Closes at 10:00PM",N/A,25 Years,https://www.yellowpages.com,https://www.google.com/search?q=Jones%20Coin%20Laundry%202075%20Newport%20Blvd%20Costa%20Mesa%2C%20CA%2092627%20N/A%20N/A
R & J Quick Clean Center,(510) 581-9797,2522 Castro Valley Blvd,"Castro Valley, CA 94546",N/A,N/A,https://sales.yellowpages.com/castro-valley-ca/mip/r-j-quick-clean-center-469357170?lid=1002071185985,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","From Business: R & J Quick Clean Center Specializing in Drapery and Curtain Cleaning and Bedspreads. Full Service Dry Cleaners including Wash and Fold. Open 7 Days a Week, 8am…",N/A,63 Years,https://www.yellowpages.com,https://www.google.com/search?q=R%20%26%20J%20Quick%20Clean%20Center%202522%20Castro%20Valley%20Blvd%20Castro%20Valley%2C%20CA%2094546%20N/A%20N/A
F & B Coin Laundry Route,(707) 542-4674,3343 Industrial Dr,"Santa Rosa, CA 95403",N/A,N/A,N/A,N/A,"Coin Operated Washers & Dryers, Commercial Laundries",N/A,N/A,75 Years,https://www.yellowpages.com,https://www.google.com/search?q=F%20%26%20B%20Coin%20Laundry%20Route%203343%20Industrial%20Dr%20Santa%20Rosa%2C%20CA%2095403%20N/A%20N/A
